"V1"	"V2"	"Cat"
"310"	105	1038.83078261806	"incompat only"
"311"	97	921.580269268363	"incompat only"
"312"	94	922.922330845692	"incompat only"
"313"	118	1177.30197689268	"incompat only"
"314"	111	1087.07705183108	"incompat only"
"315"	95	954.568285923402	"incompat only"
"316"	103	1019.72406456034	"incompat only"
"317"	113	1153.57753768155	"incompat only"
"318"	99	1016.81397906012	"incompat only"
"319"	109	1097.44729379456	"incompat only"
"320"	99	992.699791283075	"incompat only"
"321"	108	1065.68173062151	"incompat only"
"322"	96	938.819998532786	"incompat only"
"323"	107	1067.70742331424	"incompat only"
"324"	103	1067.83354780908	"incompat only"
"325"	93	909.225852742527	"incompat only"
"326"	104	1053.51233237445	"incompat only"
"327"	114	1164.21477032429	"incompat only"
"328"	109	1105.20225692073	"incompat only"
"329"	113	1153.48263919285	"incompat only"
"330"	94	989.333541770756	"incompat only"
"331"	105	1047.72016367706	"incompat only"
"332"	105	1085.39674119271	"incompat only"
"333"	112	1156.79574131801	"incompat only"
"334"	100	1018.3340949121	"incompat only"
"335"	103	1071.69393700033	"incompat only"
"336"	100	1038.23723833215	"incompat only"
"337"	109	1098.87868553466	"incompat only"
"338"	113	1164.1008131931	"incompat only"
"339"	109	1117.30008300173	"incompat only"
"340"	99	1011.87191202151	"incompat only"
"341"	102	1020.98727392317	"incompat only"
"342"	98	956.909394611631	"incompat only"
"343"	103	1021.54334613896	"incompat only"
"344"	102	1012.1531641081	"incompat only"
"345"	106	1069.34886651539	"incompat only"
"346"	113	1116.10146202808	"incompat only"
"347"	109	1100.01948274047	"incompat only"
"348"	106	1043.01700511302	"incompat only"
"349"	103	1031.77486171977	"incompat only"
"350"	98	1034.54704341237	"incompat only"
"351"	102	1007.38374346372	"incompat only"
"352"	98	1002.36228720397	"incompat only"
"353"	108	1091.80123457833	"incompat only"
"354"	100	976.174830741141	"incompat only"
"355"	101	1010.37908895519	"incompat only"
"356"	105	1046.31305709045	"incompat only"
"357"	104	1049.73586062396	"incompat only"
"358"	100	1006.73799772967	"incompat only"
"359"	97	980.239279097425	"incompat only"
"360"	109	1096.14318526512	"incompat only"
"361"	106	1053.53917327676	"incompat only"
"362"	111	1101.90497516685	"incompat only"
"363"	92	951.872975141962	"incompat only"
"364"	112	1162.16117368321	"incompat only"
"365"	109	1077.02482024394	"incompat only"
"366"	113	1172.94546762137	"incompat only"
"367"	92	900.639707507573	"incompat only"
"368"	112	1125.50782026684	"incompat only"
"369"	99	1000.62451790862	"incompat only"
"370"	116	1217.81331242353	"incompat only"
"371"	102	1073.51073155001	"incompat only"
"372"	103	1038.56808409532	"incompat only"
"373"	116	1174.71781585542	"incompat only"
"374"	90	911.396486862408	"incompat only"
"375"	106	1070.85124600614	"incompat only"
"376"	111	1149.97084748043	"incompat only"
"377"	101	1040.40360365968	"incompat only"
"378"	103	985.895390367975	"incompat only"
"379"	116	1200.58558251694	"incompat only"
"380"	104	1053.96496516008	"incompat only"
"381"	98	1021.16337704068	"incompat only"
"382"	104	1055.79877400576	"incompat only"
"383"	104	1044.20708530956	"incompat only"
"384"	111	1107.20797365193	"incompat only"
"385"	96	1001.68444713575	"incompat only"
"386"	102	1004.87994808515	"incompat only"
"387"	111	1135.80287111645	"incompat only"
"388"	113	1148.34067316003	"incompat only"
"389"	111	1138.5695101064	"incompat only"
"390"	110	1072.15559097789	"incompat only"
"391"	84	832.901245839582	"incompat only"
"392"	92	888.325582400846	"incompat only"
"393"	99	998.869044392587	"incompat only"
"394"	105	1011.18923736502	"incompat only"
"395"	106	1055.36392736724	"incompat only"
"396"	94	970.542740156568	"incompat only"
"397"	113	1120.63727266552	"incompat only"
"398"	97	958.453602589643	"incompat only"
"399"	99	971.517728541377	"incompat only"
"400"	115	1082.41008755934	"incompat only"
"401"	96	970.906306745737	"incompat only"
"402"	117	1147.41818026653	"incompat only"
"403"	94	939.833400640762	"incompat only"
"404"	106	1020.67256733353	"incompat only"
"405"	100	987.984246732182	"incompat only"
"406"	106	1041.15720091038	"incompat only"
"407"	93	939.921574687975	"incompat only"
"408"	97	923.985132411177	"incompat only"
"409"	111	1080.94358042833	"incompat only"
"410"	97	953.916991379169	"incompat only"
"411"	102	999.685389805105	"incompat only"
"412"	98	965.468549682461	"incompat only"
"413"	117	1170.1681829941	"incompat only"
"414"	108	1087.33466771321	"incompat only"
"415"	102	1026.58996307444	"incompat only"
"416"	94	959.268645035159	"incompat only"
"417"	114	1157.00129957487	"incompat only"
"418"	101	1003.07291949453	"incompat only"
"419"	99	1015.94599028005	"incompat only"
"420"	106	1068.4147975064	"incompat only"
"421"	98	1004.88934658312	"incompat only"
"422"	113	1116.84090879634	"incompat only"
"423"	106	1059.38420585506	"incompat only"
"424"	113	1127.61102093997	"incompat only"
"425"	100	996.792629157422	"incompat only"
"426"	112	1121.26331924893	"incompat only"
"427"	113	1116.13743052377	"incompat only"
"428"	109	1082.07016426932	"incompat only"
"429"	103	1049.07438988537	"incompat only"
"430"	112	1127.19114247765	"incompat only"
"431"	106	1017.14695688748	"incompat only"
"432"	96	963.976392161298	"incompat only"
"433"	91	931.37817827452	"incompat only"
"434"	116	1174.30364635633	"incompat only"
"435"	100	979.143790928047	"incompat only"
"436"	109	1096.81248107174	"incompat only"
"437"	115	1133.50599678995	"incompat only"
"438"	87	867.641808002758	"incompat only"
"439"	109	1114.07943773126	"incompat only"
"440"	103	1082.1596478544	"incompat only"
"441"	95	932.366716489004	"incompat only"
"442"	114	1131.90971099244	"incompat only"
"443"	104	1041.90713261729	"incompat only"
"444"	106	1035.24070177773	"incompat only"
"445"	105	1031.9585703082	"incompat only"
"446"	107	1074.90329991375	"incompat only"
"447"	103	1018.04795070419	"incompat only"
"448"	114	1166.59506608725	"incompat only"
"449"	90	922.40154990101	"incompat only"
"450"	116	1135.21934978342	"incompat only"
"451"	108	1099.45637981893	"incompat only"
"452"	106	1089.87401670053	"incompat only"
"453"	115	1186.3400786105	"incompat only"
"454"	85	827.284693060888	"incompat only"
"455"	108	1118.80224865974	"incompat only"
"456"	106	1054.0708730256	"incompat only"
"457"	104	1053.88725531089	"incompat only"
"458"	96	965.717007865181	"incompat only"
"459"	102	1006.18370024759	"incompat only"
"460"	100	988.679570276152	"incompat only"
"461"	105	1055.85935659295	"incompat only"
"462"	99	981.315957532561	"incompat only"
"463"	93	898.703184039516	"incompat only"
"464"	112	1140.30547343339	"incompat only"
"465"	108	1046.74599814874	"incompat only"
"466"	113	1156.9524858311	"incompat only"
"467"	108	1111.97198738407	"incompat only"
"468"	116	1202.88952119562	"incompat only"
"469"	101	1012.15466175938	"incompat only"
"470"	107	1083.88249017296	"incompat only"
"471"	97	955.991660441464	"incompat only"
"472"	96	968.320046905964	"incompat only"
"473"	112	1094.516681553	"incompat only"
"474"	105	1036.8004505496	"incompat only"
"475"	123	1287.4880205928	"incompat only"
"476"	89	907.341624057011	"incompat only"
"477"	104	1034.37742174092	"incompat only"
"478"	103	1035.8358048316	"incompat only"
"479"	93	903.370651136943	"incompat only"
"480"	108	1094.9468122216	"incompat only"
"481"	95	945.935373872023	"incompat only"
"482"	115	1172.94564315057	"incompat only"
"483"	99	1006.26399835718	"incompat only"
"484"	106	1040.33762838515	"incompat only"
"485"	110	1098.79682736913	"incompat only"
"486"	102	1001.87628302297	"incompat only"
"487"	98	932.209246451964	"incompat only"
"488"	85	817.152256305582	"incompat only"
"489"	102	1001.18118314436	"incompat only"
"490"	103	1084.3736211195	"incompat only"
"491"	107	1058.67815006161	"incompat only"
"492"	100	985.806094286202	"incompat only"
"493"	99	1018.40684037162	"incompat only"
"494"	114	1166.64047922276	"incompat only"
"495"	104	1054.89829412331	"incompat only"
"496"	114	1153.79779421446	"incompat only"
"497"	108	1097.90715904947	"incompat only"
"498"	111	1129.51994642592	"incompat only"
"499"	99	1005.0392645502	"incompat only"
"500"	101	1017.01570455144	"incompat only"
"501"	131	1347.57047426518	"fancy greedy"
"502"	134	1359.54830345689	"fancy greedy"
"503"	135	1432.64483336497	"fancy greedy"
"504"	115	1195.68849879927	"fancy greedy"
"505"	114	1218.43637122017	"fancy greedy"
"506"	129	1307.01045836737	"fancy greedy"
"507"	133	1333.44582652824	"fancy greedy"
"508"	128	1339.92350683839	"fancy greedy"
"509"	127	1353.33154315407	"fancy greedy"
"510"	130	1331.46615749028	"fancy greedy"
"511"	125	1279.48329210652	"fancy greedy"
"512"	131	1327.57336843378	"fancy greedy"
"513"	112	1119.8302851625	"fancy greedy"
"514"	130	1325.1009998249	"fancy greedy"
"515"	139	1388.17898764925	"fancy greedy"
"516"	137	1404.14718670582	"fancy greedy"
"517"	115	1110.24572345112	"fancy greedy"
"518"	119	1240.98656826785	"fancy greedy"
"519"	117	1214.1509380052	"fancy greedy"
"520"	123	1264.25782844359	"fancy greedy"
"521"	122	1275.59799196406	"fancy greedy"
"522"	130	1345.82045648332	"fancy greedy"
"523"	127	1297.06124248807	"fancy greedy"
"524"	128	1320.07536867146	"fancy greedy"
"525"	125	1292.27250483612	"fancy greedy"
"526"	127	1308.2138579885	"fancy greedy"
"527"	139	1418.18976751883	"fancy greedy"
"528"	136	1406.48980655083	"fancy greedy"
"529"	129	1360.71772031723	"fancy greedy"
"530"	128	1336.95581214316	"fancy greedy"
"531"	125	1268.15474873164	"fancy greedy"
"532"	119	1260.74020474121	"fancy greedy"
"533"	128	1297.46199805641	"fancy greedy"
"534"	125	1277.0437395866	"fancy greedy"
"535"	136	1392.31782995546	"fancy greedy"
"536"	125	1270.61743373292	"fancy greedy"
"537"	123	1296.52314869369	"fancy greedy"
"538"	120	1236.64575051775	"fancy greedy"
"539"	127	1315.68788941796	"fancy greedy"
"540"	131	1333.23567999389	"fancy greedy"
"541"	132	1374.41884260012	"fancy greedy"
"542"	129	1342.97384811746	"fancy greedy"
"543"	127	1297.88226487309	"fancy greedy"
"544"	120	1215.81184997379	"fancy greedy"
"545"	116	1205.83604875263	"fancy greedy"
"546"	133	1353.5817305114	"fancy greedy"
"547"	120	1197.64124825776	"fancy greedy"
"548"	129	1346.18925789016	"fancy greedy"
"549"	133	1393.74261683394	"fancy greedy"
"550"	123	1288.06372102929	"fancy greedy"
"551"	135	1421.75154630515	"fancy greedy"
"552"	122	1272.39362741852	"fancy greedy"
"553"	134	1340.82687162803	"fancy greedy"
"554"	132	1376.08283335127	"fancy greedy"
"555"	115	1185.56299714144	"fancy greedy"
"556"	116	1204.75694078788	"fancy greedy"
"557"	132	1284.97633771025	"fancy greedy"
"558"	113	1188.17470110467	"fancy greedy"
"559"	129	1358.92522902778	"fancy greedy"
"560"	138	1404.99669340127	"fancy greedy"
"561"	119	1236.12211399751	"fancy greedy"
"562"	122	1246.42623001935	"fancy greedy"
"563"	113	1143.87661107125	"fancy greedy"
"564"	116	1218.39012505215	"fancy greedy"
"565"	111	1184.96207866049	"fancy greedy"
"566"	113	1185.49868270822	"fancy greedy"
"567"	123	1279.85146501508	"fancy greedy"
"568"	118	1257.94445807869	"fancy greedy"
"569"	117	1210.4213027306	"fancy greedy"
"570"	128	1305.84185156008	"fancy greedy"
"571"	133	1398.15532573509	"fancy greedy"
"572"	121	1216.26710590869	"fancy greedy"
"573"	133	1367.09840629801	"fancy greedy"
"574"	129	1321.68940240514	"fancy greedy"
"575"	125	1285.99849193709	"fancy greedy"
"576"	123	1268.8069844318	"fancy greedy"
"577"	126	1266.97210797492	"fancy greedy"
"578"	137	1401.90808191382	"fancy greedy"
